Date,Geography,Lbour_force_characteristics,Industry,Sex,Age,UOM,Scalar_factor,Value
2018-01-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.2
2018-01-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,91.1
2018-01-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.1
2018-01-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96.9
2018-01-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.1
2018-01-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.7
2018-01-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.5
2018-01-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.4
2018-02-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.4
2018-02-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,91.8
2018-02-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.1
2018-02-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97
2018-02-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.2
2018-02-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.2
2018-02-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.5
2018-02-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.6
2018-03-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,95.8
2018-03-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,91.1
2018-03-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.5
2018-03-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.1
2018-03-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,96.9
2018-03-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.7
2018-03-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.2
2018-03-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,96.8
2018-04-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96
2018-04-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.4
2018-04-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.6
2018-04-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96.7
2018-04-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.3
2018-04-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.4
2018-04-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.8
2018-04-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.3
2018-05-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.5
2018-05-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.1
2018-05-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.1
2018-05-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.2
2018-05-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,96.9
2018-05-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,93.2
2018-05-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.5
2018-05-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.9
2018-06-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.6
2018-06-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.1
2018-06-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.5
2018-06-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.5
2018-06-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,96.9
2018-06-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.4
2018-06-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.3
2018-06-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.5
2018-07-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.6
2018-07-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.2
2018-07-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.2
2018-07-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.7
2018-07-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,96.5
2018-07-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.7
2018-07-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,96.6
2018-07-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,96.5
2018-08-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.5
2018-08-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,95.1
2018-08-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.7
2018-08-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96.9
2018-08-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,95
2018-08-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.6
2018-08-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,95.1
2018-08-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,95.1
2018-09-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.9
2018-09-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.2
2018-09-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.5
2018-09-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.8
2018-09-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,96.9
2018-09-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,93.5
2018-09-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.6
2018-09-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.4
2018-10-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,97
2018-10-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.9
2018-10-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.5
2018-10-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,98.1
2018-10-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.3
2018-10-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.6
2018-10-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.5
2018-10-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.6
2018-11-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,97
2018-11-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,94.1
2018-11-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.7
2018-11-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.1
2018-11-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.3
2018-11-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.1
2018-11-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.8
2018-11-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.5
2018-12-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.8
2018-12-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,94
2018-12-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.4
2018-12-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96.9
2018-12-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.5
2018-12-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,96
2018-12-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.8
2018-12-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.8
2019-01-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96
2019-01-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.3
2019-01-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.9
2019-01-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96
2019-01-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.1
2019-01-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.5
2019-01-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.5
2019-01-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.5
2019-02-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96
2019-02-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.4
2019-02-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.8
2019-02-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96
2019-02-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.4
2019-02-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95
2019-02-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.9
2019-02-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.5
2019-03-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,95.9
2019-03-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.6
2019-03-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.7
2019-03-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96.1
2019-03-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97
2019-03-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.5
2019-03-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.6
2019-03-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,96.9
2019-04-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.2
2019-04-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.8
2019-04-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.8
2019-04-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,96.2
2019-04-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.1
2019-04-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.4
2019-04-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.6
2019-04-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.4
2019-05-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.2
2019-05-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,91.8
2019-05-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.1
2019-05-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97
2019-05-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.1
2019-05-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,93.9
2019-05-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.7
2019-05-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.4
2019-06-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.6
2019-06-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.6
2019-06-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97
2019-06-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.8
2019-06-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.2
2019-06-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.3
2019-06-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.7
2019-06-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.6
2019-07-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.5
2019-07-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.1
2019-07-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.1
2019-07-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.4
2019-07-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,96.4
2019-07-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.9
2019-07-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,96.7
2019-07-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,96.5
2019-08-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.3
2019-08-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.1
2019-08-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.9
2019-08-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.1
2019-08-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,95.2
2019-08-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,93.8
2019-08-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,95.5
2019-08-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,95.7
2019-09-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,97
2019-09-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.9
2019-09-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.6
2019-09-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.9
2019-09-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.3
2019-09-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.6
2019-09-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.9
2019-09-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.3
2019-10-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,97
2019-10-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.5
2019-10-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.4
2019-10-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.9
2019-10-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.5
2019-10-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.6
2019-10-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.7
2019-10-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,98
2019-11-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.5
2019-11-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93
2019-11-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.9
2019-11-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.4
2019-11-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.2
2019-11-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.8
2019-11-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.8
2019-11-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.1
2019-12-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.7
2019-12-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,93.8
2019-12-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97.1
2019-12-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.4
2019-12-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.4
2019-12-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.5
2019-12-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.8
2019-12-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.6
2020-01-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.4
2020-01-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.7
2020-01-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,96.9
2020-01-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97.4
2020-01-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.3
2020-01-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,94.8
2020-01-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.8
2020-01-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,97.4
2020-02-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,96.4
2020-02-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,92.8
2020-02-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,97
2020-02-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,97
2020-02-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,97.2
2020-02-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,95.7
2020-02-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,97.7
2020-02-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,96.8
2020-03-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,93.9
2020-03-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,86
2020-03-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,94.9
2020-03-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,95.4
2020-03-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,93.2
2020-03-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,85.4
2020-03-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,94.6
2020-03-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,94
2020-04-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,89.3
2020-04-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,77.8
2020-04-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,91
2020-04-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,90.6
2020-04-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,88.6
2020-04-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,74.2
2020-04-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,90.6
2020-04-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,90.4
2020-05-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,88.6
2020-05-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,73.4
2020-05-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,90.9
2020-05-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,91.7
2020-05-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,88
2020-05-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,71.2
2020-05-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,90.6
2020-05-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,90.9
2020-06-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,90.6
2020-06-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,77.5
2020-06-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,93.1
2020-06-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,93.1
2020-06-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,90
2020-06-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,77.6
2020-06-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,92.2
2020-06-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,92.2
2020-07-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,91.2
2020-07-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,80.3
2020-07-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,93.2
2020-07-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,93.7
2020-07-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,91.4
2020-07-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,85.6
2020-07-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,92.5
2020-07-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,92.4
2020-08-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,91.5
2020-08-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,82.7
2020-08-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,93
2020-08-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,93.8
2020-08-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,90.5
2020-08-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,86.6
2020-08-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,91.3
2020-08-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,91
2020-09-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,93.6
2020-09-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,87.6
2020-09-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,94.4
2020-09-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,95.1
2020-09-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,94.2
2020-09-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,88.9
2020-09-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,95.3
2020-09-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,94.3
2020-10-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,93.7
2020-10-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,86.5
2020-10-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,94.7
2020-10-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,95.5
2020-10-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,94.8
2020-10-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,90.2
2020-10-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,95.7
2020-10-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,95
2020-11-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,94.1
2020-11-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,88.1
2020-11-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,95.1
2020-11-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,95.1
2020-11-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,95
2020-11-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,90.8
2020-11-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,95.8
2020-11-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,95.5
2020-12-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,94.5
2020-12-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,89.2
2020-12-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,95.3
2020-12-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,95.1
2020-12-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,94.9
2020-12-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,91.4
2020-12-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,95.7
2020-12-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,94.6
2021-01-01,Canada,Employment rate,Services-producing sector,Males,15 years and over,Percentage,units,93
2021-01-01,Canada,Employment rate,Services-producing sector,Males,15 to 24 years,Percentage,units,85.2
2021-01-01,Canada,Employment rate,Services-producing sector,Males,25 to 54 years,Percentage,units,94.3
2021-01-01,Canada,Employment rate,Services-producing sector,Males,55 years and over,Percentage,units,93.9
2021-01-01,Canada,Employment rate,Services-producing sector,Females,15 years and over,Percentage,units,93.5
2021-01-01,Canada,Employment rate,Services-producing sector,Females,15 to 24 years,Percentage,units,86.5
2021-01-01,Canada,Employment rate,Services-producing sector,Females,25 to 54 years,Percentage,units,94.8
2021-01-01,Canada,Employment rate,Services-producing sector,Females,55 years and over,Percentage,units,93.7
